name,scientific_name,prot,carb,fat,kcal
Acorn,Quercus,6.15,40.75,23.85,402.25
Adzuki bean,Vigna angularis,7.5,24.8,0.1,130.1
Alfalfa,Medicago sativa,4.0,2.1,0.7,30.7
Almond,Prunus dulcis,21.2,21.6,100.0,1071.2
Amaranth,Amaranthus,13.56,65.25,7.02,378.42
Apple,Malus pumila,0.26,13.81,0.17,57.81
Apricot,Prunus armeniaca,1.4,11.0,0.4,53.2
Atlantic mackerel,Scomber scombrus,19.0,0.0,14.0,202.0
Avocado,Persea americana,2.0,8.53,14.66,174.06
Banana,Musa acuminata,1.09,22.84,0.33,98.69
Barley,Hordeum vulgare,2.3,28.2,0.4,125.6
Bison,Bison bison,25.45,0.0,8.62,179.38
Black-eyed pea,Vigna unguiculata ssp. unguiculata,7.73,20.76,0.53,118.73
Blackcurrant,Ribes nigrum,1.4,15.4,0.4,70.8
Brazil nut,Bertholletia excelsa,14.32,12.27,66.43,704.23
Breadfruit,Artocarpus altilis,1.07,27.12,0.23,114.83
Broccoli,Brassica oleracea var. italica,2.82,6.64,0.37,41.17
Butternut squash,Cucurbita moschata,1.0,11.69,0.1,51.66
Cabbage,Brassica oleracea var. capitata,1.28,5.8,0.1,29.22
Caraway,Carum carvi,19.77,49.9,14.59,409.99
Cardoon,Cynara cardunculus,0.7,4.07,0.1,19.98
Carrot,Daucus carota ssp. sativus,0.93,9.6,0.18,43.74
Cassava,Manihot esculenta,1.4,38.1,0.3,160.7
Cauliflower,Brassica oleracea var. botrytis,1.9,5.0,0.3,30.3
Chanterelle,Cantharellus cibarius,1.49,6.86,0.53,38.17
Chayote,Sechium edule,0.82,4.51,0.13,22.49
Cherimoya,Annona cherimola,1.57,17.71,0.68,83.24
Chestnut,Castanea,1.6,44.0,1.3,194.1
Chickpea,Cicer arietinum,20.5,27.42,6.04,246.04
Chicory,Cichorium intybus,1.7,4.7,0.1,26.5
Chives,Allium schoenoprasum,3.27,4.35,0.73,37.05
Chum salmon,Oncorhynchus keta,20.14,0.0,3.77,114.49
Cinnamon,Cinnamomum,4.0,80.6,1.2,349.2
Coconut,Cocos nucifera,3.33,15.23,33.49,375.65
Coriander,Coriandrum sativum,2.13,3.67,0.52,27.88
Cowpea,Vigna unguiculata,23.52,60.03,1.26,345.54
Cucumber,Cucumis sativus,0.65,3.63,0.11,18.11
Cumin,Cuminum cyminum,17.81,44.24,22.27,448.63
Dill,Anethum graveolens,3.5,7.0,1.1,51.9
Durian,Durio zibethinus,1.47,27.09,5.33,162.21
Eggplant,Solanum melongena,0.98,5.88,0.18,29.06
Endive,Cichorium endivia,1.25,3.35,0.2,20.2
Fennel,Foeniculum vulgare,15.8,52.0,14.9,405.3
Fenugreek,Trigonella foenum-graecum,23.0,58.0,6.4,381.6
Fig,Ficus carica,0.8,19.2,0.3,82.7
Garden cress,Lepidium sativum,2.6,5.5,0.7,38.7
Garlic,Allium sativum,6.36,33.06,0.5,162.18
Ginger,Zingiber officinale,1.82,17.77,0.75,85.11
Gooseberry,Ribes uva-crispa,0.88,10.18,0.58,49.46
Grape,Vitis,0.72,18.1,0.16,76.72
Grapefruit,Citrus X paradisi,0.8,8.41,0.1,37.74
Green bean,Phaseolus vulgaris,1.83,6.97,0.22,37.18
Guava,Psidium guajava,2.55,14.32,0.95,76.03
Haddock,Melanogrammus aeglefinus,24.24,0.0,0.93,105.33
Hazelnut,Corylus,14.95,16.7,60.75,673.35
Jackfruit,Artocarpus heterophyllus,1.72,23.25,0.64,105.64
Jerusalem artichoke,Helianthus tuberosus,2.0,17.44,0.01,77.85
Jujube,Ziziphus zizyphus,1.2,20.23,1.1,95.62
Kale,Brassica napus var. pabularia,1.9,8.8,0.4,46.4
Kelp,Laminaria,1.68,9.57,0.56,50.04
Kohlrabi,Brassica oleracea var. gongylodes,1.7,6.2,0.1,32.5
Komatsuna,Brassica rapa var. perviridis,2.2,3.9,0.3,27.1
Kumquat,Fortunella,1.88,15.9,0.86,78.86
Leek,Allium porrum,1.5,14.15,0.3,65.3
Lemon,Citrus limon,1.1,9.32,0.3,44.38
Lettuce,Lactuca sativa,1.35,2.23,0.22,16.3
Lima bean,Phaseolus lunatus,7.8,20.88,0.38,118.14
Longan,Dimocarpus longan,1.31,15.14,0.1,66.7
Loquat,Eriobotrya japonica,0.43,12.14,0.2,52.08
Mango,Mangifera indica,0.82,15.0,0.38,66.7
Millet,Panicum miliaceum,11.0,72.8,4.3,373.9
Mung bean,Vigna radiata,7.02,19.15,0.18,106.3
Napa cabbage,Brassica rapa var. pekinensis,1.2,3.2,0.2,19.4
Oat,Avena sativa,16.9,66.3,6.9,394.9
Okra,Abelmoschus esculentus,1.9,7.46,0.19,39.15
Olive,Olea europaea,1.03,3.84,15.32,157.36
Papaya,Carica papaya,0.47,10.82,0.26,47.5
Parsley,Petroselinum crispum,2.97,6.33,0.79,44.31
Parsnip,Pastinaca sativa,1.2,18.0,0.2,78.6
Peach,Prunus persica,0.91,9.54,0.25,44.05
Peanut,Arachis hypogaea,25.0,21.0,48.0,616.0
Pear,Pyrus communis,0.36,15.23,0.14,63.62
Persimmon,Diospyros,0.8,33.5,0.4,140.8
Pigeon pea,Cajanus cajan,7.2,23.88,1.49,137.73
Pine nut,Pinus,13.7,13.1,68.4,722.8
Pineapple,Ananas comosus,0.54,13.12,0.12,55.72
Pistachio,Pistacia vera,20.27,27.51,45.39,599.63
Pomegranate,Punica granatum,1.67,18.7,1.17,92.01
Quince,Cydonia oblonga,0.4,15.3,0.1,63.7
Quinoa,Chenopodium quinoa,4.4,64.2,1.92,291.68
Radish,Raphanus sativus,0.68,3.4,0.1,17.22
Rambutan,Nephelium lappaceum,0.65,20.87,0.21,87.97
Rapini,Brassica ruvo,3.17,2.85,0.49,28.49
